Level, Q, C, X, CycleLength
7, 5, 1, -4, 3
7, 5, 5, -20, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -36, 3
7, 5, 7, -28, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -36, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 5, -20, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -36, 3
8, 5, 3, -2, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
8, 5, 3, -12, 3
7, 5, 9, -36, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
8, 5, 5, -20, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -26, 6
8, 5, 1, -4, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
8, 5, 3, -12, 3
7, 5, 9, -36, 3
8, 5, 3, -2, 2
7, 5, 9, -36, 3
8, 5, 5, -20, 3
7, 5, 9, 18, 7
8, 5, 1, -4, 3
8, 5, 3, -12, 3
7, 5, 9, -56, 6
7, 5, 9, -36, 3
7, 5, 9, -36, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -6, 2
7, 5, 9, -36, 3
7, 5, 9, -6, 2
7, 5, 9, -6, 2
8, 5, 5, -20, 3
7, 5, 9, -36, 3
8, 5, 7, -28, 3
8, 5, 3, 4, 4
8, 5, 7, -28, 3
8, 5, 3, -12, 3
8, 5, 1, -4, 3
8, 5, 7, -28, 3
8, 5, 5, -20, 3
8, 5, 1, 33, 10
8, 5, 3, 99, 10
8, 5, 3, 67, 10
8, 5, 1, 34, 10
8, 5, 5, 165, 10
8, 5, 3, 102, 10
8, 5, 3, 86, 10
8, 5, 1, 52, 10
8, 5, 3, 156, 10
8, 5, 5, 170, 10
8, 5, 7, -28, 3
8, 5, 5, 260, 10
8, 5, 7, 231, 10
8, 5, 3, 218, 10
8, 5, 7, 238, 10
8, 5, 3, -12, 3
8, 5, 3, 77, 10
8, 5, 7, 364, 10
8, 5, 3, 61, 10
8, 5, 3, 106, 10
8, 5, 5, -20, 3
8, 5, 3, -12, 3
8, 5, 1, 27, 10
8, 5, 5, -20, 3
8, 5, 7, -28, 3
8, 5, 1, 27, 10
8, 5, 3, 81, 10
8, 5, 3, 61, 10
8, 5, 3, -12, 3
8, 5, 7, -28, 3
8, 5, 3, 81, 10
8, 5, 5, 135, 10
8, 5, 5, -20, 3
8, 5, 5, 135, 10
8, 5, 3, -12, 3
8, 5, 7, 189, 10
8, 5, 5, -20, 3
8, 5, 7, -28, 3
8, 5, 7, 189, 10
8, 5, 3, 53, 10
8, 5, 3, 86, 10
8, 5, 1, 26, 10
8, 5, 7, -28, 3
8, 5, 3, -12, 3
8, 5, 3, 78, 10
8, 5, 5, -20, 3
8, 5, 5, 130, 10
8, 5, 3, -12, 3
8, 5, 7, -28, 3
8, 5, 3, 8, 4
8, 5, 5, -20, 3
8, 5, 7, 182, 10
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -36, 3
8, 5, 3, -12, 3
8, 5, 3, -12, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -36, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 5, -20, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 5, -20, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 7, -28, 3
8, 5, 9, -36, 3
8, 5, 9, 14, 12
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 7, -28, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 7, -28, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, 12, 4
8, 5, 9, -36, 3
9, 5, 3, -12, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, 297, 10
8, 5, 9, 201, 10
8, 5, 9, 306, 10
9, 5, 5, -20, 3
8, 5, 9, 258, 10
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, 468, 10
8, 5, 9, 654, 10
9, 5, 3, -12, 3
8, 5, 9, -36, 3
8, 5, 9, 231, 10
8, 5, 9, 183, 10
8, 5, 9, 318, 10
8, 5, 9, -36, 3
9, 5, 5, -20, 3
8, 5, 9, 243, 10
8, 5, 9, 183, 10
8, 5, 9, -36, 3
8, 5, 9, 243, 10
8, 5, 9, -36, 3
8, 5, 9, -6, 2
